p,method,parallel,precision,runtime_us,rel_error
100,reference,seq,f64,41.845798841677606,0.0
100,reference,seq,f32,41.845798841677606,0.0
100,naive,seq,f64,8.084590081125498,5.57950439465914e-16
100,naive,seq,f32,8.258750021923333,6.878211620386869e-06
100,autovec,seq,f64,7.546659908257425,5.57950439465914e-16
100,autovec,seq,f32,7.8304202179424465,6.878211620386869e-06
100,blocked,seq,f64,3.8616699748672545,7.439339192878852e-16
100,blocked,seq,f32,3.0762498499825597,6.8906927604404876e-06
100,blocked_autovec,seq,f64,7.982079987414181,5.57950439465914e-16
100,blocked_autovec,seq,f32,8.156670082826167,6.878211620386869e-06
100,blocked_tiled,seq,f64,3.725829883478582,7.439339192878852e-16
100,blocked_tiled,seq,f32,2.7245900128036737,6.8906927604404876e-06
100,blocked_windowed,seq,f64,3.7062499905005097,7.439339192878852e-16
100,blocked_windowed,seq,f32,3.8854201557114716,6.878211620386869e-06
100,blocked_hybrid,seq,f64,6.5229099709540606,7.439339192878852e-16
100,blocked_hybrid,seq,f32,6.681249942630529,6.878211620386869e-06
100,adaptive,seq,f64,593.9591699279845,1.3625567334413624e-08
100,adaptive,seq,f32,647.9887501336634,6.865730480333249e-06
100,fft5,seq,f64,646.692079899367,1.3625567334413624e-08
100,fft5,seq,f32,650.3737499588169,6.865730480333249e-06
100,fft3,seq,f64,637.0316699030809,1.3625567334413624e-08
100,fft3,seq,f32,648.7625002046116,6.865730480333249e-06
100,fft2,seq,f64,651.7237500520423,1.3625567334413624e-08
100,fft2,seq,f32,633.8345899712294,6.865730480333249e-06
100,treecode,seq,f64,42.21333016175777,3.4051641603727708e-06
100,treecode,seq,f32,41.067919810302556,6.740919079797055e-06
100,chebcode,seq,f64,9.21958009712398,2.5609367221045986e-10
100,chebcode,seq,f32,9.509579977020621,6.878211620386869e-06
100,ewald,seq,f64,22.952500148676336,0.008605337879498187
100,ewald,seq,f32,24.490839859936386,0.008605470303120906
100,dst,seq,f64,622.5383299170062,1.3625567334413624e-08
100,dst,seq,f32,663.1704201572575,6.865730480333249e-06
100,auto,seq,f64,8.945000008679926,7.903301253461285e-09
100,auto,seq,f32,2.822499955072999,6.8906927604404876e-06
100,blocked,True,f64,3.6700000055134296,7.439339192878852e-16
100,blocked_autovec,True,f64,49.200410139746964,5.57950439465914e-16
100,blocked_tiled,True,f64,3.8329200469888747,7.439339192878852e-16
100,blocked_windowed,True,f64,47.175000072456896,7.439339192878852e-16
100,blocked_hybrid,True,f64,47.71749983774498,7.439339192878852e-16
100,treecode,True,f64,81.52916008839384,3.4051641603727708e-06
100,chebcode,True,f64,9.921670134644955,2.5609367221045986e-10
200,reference,seq,f64,98.56679826043546,0.0
200,reference,seq,f32,98.56679826043546,0.0
200,naive,seq,f64,33.629999961704016,7.451696541758931e-16
200,naive,seq,f32,32.33082010410726,8.35492644820082e-06
200,autovec,seq,f64,30.212500132620335,7.451696541758931e-16
200,autovec,seq,f32,30.299999634735286,8.35492644820082e-06
200,blocked,seq,f64,11.478340020403266,1.0711813778778464e-15
200,blocked,seq,f32,7.394179701805115,8.35492644820082e-06
200,blocked_autovec,seq,f64,33.97499967832118,7.451696541758931e-16
200,blocked_autovec,seq,f32,32.63417980633676,8.35492644820082e-06
200,blocked_tiled,seq,f64,11.631679954007268,1.0711813778778464e-15
200,blocked_tiled,seq,f32,7.4300001142546535,8.35492644820082e-06
200,blocked_windowed,seq,f64,11.511659831739962,1.0711813778778464e-15
200,blocked_windowed,seq,f32,11.757499887607992,8.35492644820082e-06
200,blocked_hybrid,seq,f64,22.084999945946038,1.0711813778778464e-15
200,blocked_hybrid,seq,f32,22.725840099155903,8.35492644820082e-06
200,adaptive,seq,f64,708.2449999870732,1.9541155421509025e-08
200,adaptive,seq,f32,663.6191799771041,8.329922703711312e-06
200,fft5,seq,f64,619.2391598597169,1.9541155421509025e-08
200,fft5,seq,f32,664.8849998600781,8.329922703711312e-06
200,fft3,seq,f64,639.0675000147894,1.9541155421509025e-08
200,fft3,seq,f32,648.3625003602356,8.329922703711312e-06
200,fft2,seq,f64,626.3041595229879,1.9541155421509025e-08
200,fft2,seq,f32,644.953339942731,8.329922703711312e-06
200,treecode,seq,f64,98.14333985559642,3.2795274557586436e-06
200,treecode,seq,f32,96.50500025600195,7.829847813921141e-06
200,chebcode,seq,f64,26.68915956746787,1.6865438754894005e-10
200,chebcode,seq,f32,26.954999775625765,8.35492644820082e-06
200,ewald,seq,f64,55.948320077732205,0.005110262756235853
200,ewald,seq,f32,53.25081991031766,0.005109511920513894
200,dst,seq,f64,648.580000270158,1.9541155421509025e-08
200,dst,seq,f32,646.1808201856911,8.329922703711312e-06
200,auto,seq,f64,22.423320333473384,5.205892315289157e-09
200,auto,seq,f32,7.539159851148725,8.35492644820082e-06
200,blocked,True,f64,11.609999928623438,1.0711813778778464e-15
200,blocked_autovec,True,f64,65.38999965414405,7.451696541758931e-16
200,blocked_tiled,True,f64,11.598319979384542,1.0711813778778464e-15
200,blocked_windowed,True,f64,70.38915995508432,1.0711813778778464e-15
200,blocked_hybrid,True,f64,74.80999978724867,1.0711813778778464e-15
200,treecode,True,f64,106.97832040023059,3.2795274557586436e-06
200,chebcode,True,f64,29.095840291120112,1.6865438754894005e-10
400,reference,seq,f64,410.39599454961717,0.0
400,reference,seq,f32,410.39599454961717,0.0
400,naive,seq,f64,142.27499952539802,1.1800733718906746e-15
400,naive,seq,f32,148.73836073093116,9.750859142542814e-06
400,autovec,seq,f64,137.8083205781877,1.1800733718906746e-15
400,autovec,seq,f32,138.65999993868172,9.750859142542814e-06
400,blocked,seq,f64,42.344999965280294,2.1634678484662367e-15
400,blocked,seq,f32,47.14668029919267,9.718557940468384e-06
400,blocked_autovec,seq,f64,142.84999924711883,1.1800733718906746e-15
400,blocked_autovec,seq,f32,142.04664039425552,9.750859142542814e-06
400,blocked_tiled,seq,f64,42.72500053048134,2.1634678484662367e-15
400,blocked_tiled,seq,f32,47.07335960119963,9.718557940468384e-06
400,blocked_windowed,seq,f64,44.50999898836017,2.1634678484662367e-15
400,blocked_windowed,seq,f32,47.40835982374847,9.750859142542814e-06
400,blocked_hybrid,seq,f64,87.92832028120756,2.1634678484662367e-15
400,blocked_hybrid,seq,f32,85.17331909388304,9.750859142542814e-06
400,adaptive,seq,f64,635.2233199868351,3.659726096873669e-08
400,adaptive,seq,f32,678.251680219546,9.739593682940446e-06
400,fft5,seq,f64,669.6933205239475,3.659726096873669e-08
400,fft5,seq,f32,687.2500001918525,9.739593682940446e-06
400,fft3,seq,f64,663.8249999377877,3.659726096873669e-08
400,fft3,seq,f32,657.0649996865541,9.739593682940446e-06
